A, -1.1
C, -2.3
D, -8.3
E, -8.3
F, 10.0
G, -2.4
H, -3.8
I, 8.7
K, -9.9
L, 9.7
M, 4.6
N, -7.1
P, -0.2
Q, -6.0
R, -10
S, -4.3
T, -3.8
V, 4.1
W, 9.7
Y, 2.5
X, 0
