A,3.55,7.59,0
C,3.55,7.5,9
D,4.55,7.5,4.05
E,4.75,7.7,4.45
F,3.55,7.5,0
G,3.55,7.5,0
H,3.55,7.5,5.98
I,3.55,7.5,0
K,3.55,7.5,10
L,3.55,7.5,0
M,3.55,7,0
N,3.55,7.5,0
P,3.55,8.36,0
Q,3.55,7.5,0
R,3.55,7.5,12
S,3.55,6.93,0
T,3.55,6.82,0
V,3.55,7.44,0
W,3.55,7.5,0
X,3.55,7.5,0
Y,3.55,7.5,10
Z,3.55,7.5,0
